Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,285.0530603,985.902989,1158.102664,1351.197365,264.6,441.7091508,0,35.75,0,0,0,0,0,0,0,0,2190.952316,0,0,214.5,574,1568.83933,323.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,285.0530603,985.902989,1158.102664,1351.197365,264.6,441.7091508,0,35.75,0,0,0,0,0,0,0,0,2058.652316,0,0,214.5,574,1568.83933,298.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,285.0530603,985.902989,1158.102664,1327.852798,264.6,441.7091508,0,35.75,0,0,0,0,0,0,0,0,1727.902316,0,0,214.5,574,1404.117719,298.8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,285.0530603,985.902989,993.7227955,1082.356537,264.6,441.7091508,0,35.75,0,0,0,0,0,0,0,0,1661.752316,0,0,214.5,574,1404.117719,298.8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,285.0530603,955.3800345,993.7227955,1082.356537,264.6,441.7091508,0,35.75,0,0,0,0,0,0,0,0,1634.458844,0,0,214.5,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,0
6,635.1964437,1179.215035,1110.336824,904.9371762,529.2,677.6034368,0,35.75,0,0,0,0,0,0,0,0,2434.078908,0,0,214.5,1004.5,2336.117719,448.2,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
7,422.4205816,955.3800345,990.8107046,599.423531,264.6,441.7091508,0,0,0,0,0,0,0,0,0,0,1633.039316,0,0,214.5,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
8,442.4219849,1201.949236,1431.935537,464.3512602,264.6,612.3732155,0,35.75,0,0,0,0,0,0,0,0,2135.708567,0,0,250.25,717.5,1876.235437,373.5,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
9,427.7900859,470.4042011,1111.605537,187.972614,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
10,427.7900859,470.4042011,1111.605537,284.6012387,264.6,507.2557001,0,35.75,0,0,0,0,0,0,0,0,1368.439316,0,0,107.25,574,1404.117719,273.9,0,0,0,0,0,0,0,0,0,0,0,0,23.43527546
